Timestamp,Open,High,Low,Close,Volume
5/15/2018 6:00,8733.86,8796.68,8707.28,8740.99,4906603.14
5/15/2018 7:00,8740.99,8766,8721.11,8739,2390398.89
5/15/2018 8:00,8739,8750.27,8660.53,8728.49,7986062.84
5/15/2018 9:00,8728.49,8754.4,8701.35,8708.32,1593991.98
5/15/2018 10:00,8708.32,8865,8695.11,8795.9,11101273.74
5/15/2018 11:00,8795.9,8821.19,8740.54,8760,2842987.3
5/15/2018 12:00,8760,8798.6,8741.52,8760,2842401.44
5/15/2018 13:00,8760,8771.02,8700,8759.23,6380081.87
5/15/2018 14:00,8759.23,8761.7,8467.42,8517.77,11484106.74
5/15/2018 15:00,8517.77,8553.67,8477.89,8520.3,6747071.92
5/15/2018 16:00,8520.3,8589.1,8500.78,8535.23,3298228.22
5/15/2018 17:00,8535.23,8579.48,8500,8546.34,4058869.11
5/15/2018 18:00,8546.34,8555.51,8400,8526.65,7443239.63
5/15/2018 19:00,8526.65,8583.6,8451.05,8555.6,5703980.92
5/15/2018 20:00,8555.6,8569.92,8461.38,8512.1,5192991.59
5/15/2018 21:00,8512.1,8555.54,8481.24,8492.28,1440288.06
5/15/2018 22:00,8492.28,8557.51,8420.37,8460,2591379.77
5/15/2018 23:00,8460,8505,8450,8474.99,1152835.45
5/16/2018 0:00,8474.99,8505.33,8430.94,8455.92,1306049.94
5/16/2018 1:00,8455.92,8478.29,8275.02,8326.28,8931481.69
5/16/2018 2:00,8326.28,8339.81,8100.01,8133.43,13978603.77
5/16/2018 3:00,8133.43,8217.44,8122.56,8164.79,4028910.03
5/16/2018 4:00,8164.79,8252.72,8157.01,8229.38,5179471.34
5/16/2018 5:00,8229.38,8248.63,8166.25,8220.4,5090356.15
5/16/2018 6:00,8220.4,8267.12,8176.91,8238.8,4822260.46
5/16/2018 7:00,8238.8,8255,8213.79,8232.99,2507070.05
5/16/2018 8:00,8232.99,8261.24,8200,8207.48,3710007.82
5/16/2018 9:00,8207.48,8263.93,8207.48,8243.45,1501103.9
5/16/2018 10:00,8243.45,8455.66,8237.1,8371.13,7667494.3
5/16/2018 11:00,8371.13,8439.44,8370,8373,2680259.87
5/16/2018 12:00,8373,8399.1,8356.4,8365.08,3031532.02
5/16/2018 13:00,8365.08,8381.73,8145.1,8179.99,8614269.8
5/16/2018 14:00,8179.99,8229.91,8173.6,8225,2936522.28
5/16/2018 15:00,8225,8377.29,8211.8,8285.8,4663319.71
5/16/2018 16:00,8285.8,8329.1,8201,8273.4,2665411.47
5/16/2018 17:00,8273.4,8350,8250.9,8297.4,8926209.14
5/16/2018 18:00,8297.4,8346.95,8266.46,8279.89,1973143.22
5/16/2018 19:00,8279.89,8377.29,8252.72,8252.72,2086318.5
5/16/2018 20:00,8252.72,8311.35,8232.14,8302.18,2971208.9
5/16/2018 21:00,8302.18,8319.96,8268.37,8295.85,972462.5
5/16/2018 22:00,8295.85,8398.24,8277.25,8277.25,3030639.92
5/16/2018 23:00,8277.25,8372.58,8277.25,8346.59,1784063.07
5/17/2018 0:00,8346.59,8399.99,8314.78,8358.3,1436126.5
5/17/2018 1:00,8358.3,8386.53,8314.77,8375.1,2160023.63
5/17/2018 2:00,8375.1,8400,8350.07,8368.62,2509694.55
5/17/2018 3:00,8368.62,8500,8331.39,8366.72,6048203.82
5/17/2018 4:00,8366.72,8381,8314.77,8314.77,1000211.56
5/17/2018 5:00,8314.77,8371.3,8275.45,8363.7,3379135.19
5/17/2018 6:00,8363.7,8382.41,8335.49,8344.16,1761990.38
5/17/2018 7:00,8344.16,8351,8191.14,8247.4,5919821.52
5/17/2018 8:00,8247.4,8292.99,8227.7,8277.4,1784788.58
5/17/2018 9:00,8277.4,8325.8,8264.13,8291.67,1361911.38
5/17/2018 10:00,8291.67,8318.99,8249.93,8307.89,1670966.85
5/17/2018 11:00,8307.89,8324.9,8269.52,8298.9,1687381.64
5/17/2018 12:00,8298.9,8335.56,8219.44,8269.47,7337732.27
5/17/2018 13:00,8269.47,8309.4,8262.68,8300.98,791422.26
5/17/2018 14:00,8300.98,8377.29,8286.65,8318.49,4160031.45
5/17/2018 15:00,8318.49,8330.41,8289.87,8306.39,1435667.85
5/17/2018 16:00,8306.39,8328.23,8232.14,8276.43,2938421.81
5/17/2018 17:00,8276.43,8284.36,8232.14,8257.69,2107306.11
5/17/2018 18:00,8257.69,8274.83,8110.02,8166,4838784.03
5/17/2018 19:00,8166,8200,8154.95,8176.33,1087904.55
5/17/2018 20:00,8176.33,8232.14,8168.6,8200.7,1224651.09
5/17/2018 21:00,8200.7,8213.97,8151,8155.41,716047.78
5/17/2018 22:00,8155.41,8155.41,7980,8080,8543296.28
5/17/2018 23:00,8080,8108.28,8005.95,8067.03,2309375.48
5/18/2018 0:00,8067.03,8068.92,7929.53,7958.08,4185614.12
5/18/2018 1:00,7958.08,8019.9,7931.03,7974.25,2522629.74
5/18/2018 2:00,7974.25,8026.66,7950,7998.5,3524532.06
5/18/2018 3:00,7998.5,8025,7980.58,7991.99,1517993.24
5/18/2018 4:00,7991.99,8104.69,7991.99,8022.7,6811160.37
5/18/2018 5:00,8022.7,8061.39,7992.75,8042.97,1246845.51
5/18/2018 6:00,8042.97,8045.99,7953.4,7965.67,2062118.35
5/18/2018 7:00,7965.67,8170.71,7965.67,8088.95,4941942.99
5/18/2018 8:00,8088.95,8144.16,8085.94,8122.19,1767882.94
5/18/2018 9:00,8122.19,8139.99,8078.48,8107.99,1405941.08
5/18/2018 10:00,8107.99,8152.99,8092.9,8137.73,1771767.46
5/18/2018 11:00,8137.73,8137.73,8049.22,8115,3021026.92
5/18/2018 12:00,8115,8143.72,8079.46,8107,3924699.93
5/18/2018 13:00,8107,8129.99,8062.12,8094.4,2008972.2
